"HDR","FEC","8.0","NGP","3.0","","0",""
"F3XN","C00488759","The American Worker, Inc","","700 13th Street, NW","Suite 600","Washington","DC","20005","YE","","","","20110701","20111231","","Rocha","Charles","E.","","","20120131","62931.42","75450.00","138381.42","41746.77","96634.65","0.00","0.00","25000.00","450.00","25450.00","0.00","50000.00","75450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75450.00","75450.00","0.00","0.00","41746.77","41746.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","41746.77","41746.77","75450.00","0.00","75450.00","41746.77","0.00","41746.77","107593.15","2011","112713.58","220306.73","123672.08","96634.65","25000.00","450.00","25450.00","0.00","75000.00","100450.00","0.00","0.00","0.00","0.00","0.00","12263.58","0.00","0.00","0.00","112713.58","112713.58","0.00","0.00","98672.08","98672.08","0.00","0.00","0.00","0.00","0.00","0.00","25000.00","0.00","0.00","25000.00","0.00","0.00","0.00","0.00","0.00","123672.08","123672.08","100450.00","25000.00","75450.00","98672.08","0.00","98672.08"
"SA11AI","C00488759","C3421530","","","ORG","Communications Workers of America","","","","","","501 Third Street, NW","","Washington","DC","20001","","","20111227","20000.00","-5000.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00488759","C3412801","","","ORG","The NEA Fund for Children & Public Education Non-Federal Acct","","","","","","1201 16th Street, NW","Suite 420","Washington","DC","20036","","","20111219","5000.00","5000.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11C","C00488759","C3275576","","","PAC","Sheet Metal Workers' International PAL","","","","","","1750 New York Avenue, NW","","Washington","DC","20006","","","20110907","10000.00","50000.00","","","","C00007542","Sheet Metal Workers' International PAL","","","","","","","","","","","","","","","","","",""
"SA11C","C00488759","C3285749","","","PAC","Sheet Metal Workers' International PAL","","","","","","1750 New York Avenue, NW","","Washington","DC","20006","","","20110930","10000.00","50000.00","","","","C00007542","Sheet Metal Workers' International PAL","","","","","","","","","","","","","","","","","",""
"SA11C","C00488759","C3310168","","","PAC","Sheet Metal Workers' International PAL","","","","","","1750 New York Avenue, NW","","Washington","DC","20006","","","20111024","10000.00","50000.00","","","","C00007542","Sheet Metal Workers' International PAL","","","","","","","","","","","","","","","","","",""
"SA11C","C00488759","C3348730","","","PAC","Sheet Metal Workers' International PAL","","","","","","1750 New York Avenue, NW","","Washington","DC","20006","","","20111121","10000.00","50000.00","","","","C00007542","Sheet Metal Workers' International PAL","","","","","","","","","","","","","","","","","",""
"SA11C","C00488759","C3397142","","","PAC","Sheet Metal Workers' International PAL","","","","","","1750 New York Avenue, NW","","Washington","DC","20006","","","20111212","10000.00","50000.00","","","","C00007542","Sheet Metal Workers' International PAL","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D379630","","","ORG","Fletcher Rowley","","","","","","1720 West End Avenue","Suite 630","Nashville","TN","37203","","","20110901","400.00","","Duplication Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D389998","","","ORG","Navigare Strategy Group, LLC","","","","","","625 Third Street, NE","Suite #2","Washington","DC","20002","","","20111122","1667.00","","Fundraising Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D388694","","","ORG","NGP VAN, Inc.","","","","","","1101 15th Street, NW","Suite 500","Washington","DC","20005","","","20111117","1200.00","","Database Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D376428","","","ORG","NGP VAN, Inc.","","","","","","1101 15th Street, NW","Suite 500","Washington","DC","20005","","","20110729","600.00","","Database Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D376429","","","ORG","Perkins Coie LLP","","","","","","1201 Third Avenue","40th Floor","Seattle","WA","98101","","","20110729","96.59","","Legal & Accounting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D378480","","","ORG","Perkins Coie LLP","","","","","","1201 Third Avenue","40th Floor","Seattle","WA","98101","","","20110815","1185.50","","Legal & Accounting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D378481","","","ORG","Perkins Coie LLP","","","","","","1201 Third Avenue","40th Floor","Seattle","WA","98101","","","20110815","2036.76","","Legal & Accounting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D379631","","","ORG","Perkins Coie LLP","","","","","","1201 Third Avenue","40th Floor","Seattle","WA","98101","","","20110901","902.00","","Legal & Accounting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D382166","","","ORG","Perkins Coie LLP","","","","","","1201 Third Avenue","40th Floor","Seattle","WA","98101","","","20111003","401.30","","Legal & Accounting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D388186","","","ORG","Perkins Coie LLP","","","","","","1201 Third Avenue","40th Floor","Seattle","WA","98101","","","20111103","113.70","","Legal & Accounting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D388187","","","ORG","Perkins Coie LLP","","","","","","1201 Third Avenue","40th Floor","Seattle","WA","98101","","","20111103","651.39","","Legal & Accounting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D391819","","","ORG","Perkins Coie LLP","","","","","","1201 Third Avenue","40th Floor","Seattle","WA","98101","","","20111209","1732.65","","Legal & Accounting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D389987","","","ORG","Sinclair Strategies","","","","","","80 Norfolk Street","","Needham","MA","02492","","","20111202","750.00","","Graphic Design Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D389993","","","ORG","Solidarity Strategies","","","","","","P.O. Box 52092","","Washington","DC","20091","","","20111122","5000.00","","Fundraising Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00488759","D376427","","","ORG","Solidarity Strategies","","","","","","P.O. Box 52092","","Washington","DC","20091","","","20110727","5000.00","","Fundraising Consulting Services","","","","","","","","","","","","","","","","","","","","",""
